DN;Variant;Element;Type;EndPoint1;EndPoint2;CentrePoint
65;V1;pipe;FREM;125.8 1000 0;600 1000 0;
65;V1;elbow;RETUR;86.4 690 8.6;0 595 48;0 690 48
65;V1;elbow;RETUR;86.4 690 8.6;125.8 690 0;105.2 690 0
65;V1;pipe;RETUR;0 0 48.1;0 595 48;
65;V1;pipe;RETUR;600 690 0;125.8 690 0;
65;V2;elbow;FREM;86.4 690 -8.6;0 595 -48;0 690 -48
65;V2;elbow;FREM;86.4 690 -8.6;125.8 690 0;105.2 690 0
65;V2;pipe;FREM;0 0 -48.1;0 595 -48;
65;V2;pipe;FREM;600 690 0;125.8 690 0;
65;V2;elbow;RETUR;86.4 1000 8.6;0 905 48;0 1000 48
65;V2;elbow;RETUR;86.4 1000 8.6;125.8 1000 0;105.2 1000 0
65;V2;pipe;RETUR;0 0 48.1;0 905 48;
65;V2;pipe;RETUR;125.8 1000 0;600 1000 0;
65;V3;elbow;FREM;513.6 1000 -8.6;600 905 -48.1;600 1000 -48.1
65;V3;elbow;FREM;513.6 1000 -8.6;474.1 1000 0;494.8 1000 0
65;V3;pipe;FREM;600 905 -48.1;600 0 -48.1;
65;V3;pipe;FREM;474.1 1000 0;0 1000 0;
65;V3;elbow;RETUR;513.6 690 8.6;600 595 48;600 690 48
65;V3;elbow;RETUR;513.6 690 8.6;474.1 690 0;494.8 690 0
65;V3;pipe;RETUR;600 595 48;600 0 48.1;
65;V3;pipe;RETUR;0 690 0;474.1 690 0;
65;V4;elbow;FREM;513.6 690 -8.6;600 595 -48;600 690 -48
65;V4;elbow;FREM;513.6 690 -8.6;474.1 690 0;494.8 690 0
65;V4;pipe;FREM;600 595 -48;600 0 -48.1;
65;V4;pipe;FREM;0 690 0;474.1 690 0;
65;V4;elbow;RETUR;513.6 1000 8.6;600 905 48;600 1000 48
65;V4;elbow;RETUR;513.6 1000 8.6;474.1 1000 0;494.8 1000 0
65;V4;pipe;RETUR;600 905 48;600 0 48.1;
65;V4;pipe;RETUR;0 1000 0;474.1 1000 0;
50;V1;elbow;FREM;68.6 1000 -7.4;0 924 -40.1;0 1000 -40.1
50;V1;elbow;FREM;68.6 1000 -7.4;101.3 1000 0;84.1 1000 0
50;V1;pipe;FREM;0 924 -40.1;0 0 -40.1;
50;V1;pipe;FREM;101.3 1000 0;600 1000 0;
50;V1;elbow;RETUR;68.6 700 7.4;0 624 40.1;0 700 40.1
50;V1;elbow;RETUR;68.6 700 7.4;101.3 700 0;84.1 700 0
50;V1;pipe;RETUR;0 0 40.1;0 624 40.1;
50;V1;pipe;RETUR;600 700 0;101.3 700 0;
50;V2;elbow;FREM;68.6 700 -7.4;0 624 -40.1;0 700 -40.1
50;V2;elbow;FREM;68.6 700 -7.4;101.3 700 0;84.1 700 0
50;V2;pipe;FREM;0 0 -40.1;0 624 -40.1;
50;V2;pipe;FREM;600 700 0;101.3 700 0;
50;V2;elbow;RETUR;68.6 1000 7.4;0 924 40.1;0 1000 40.1
50;V2;elbow;RETUR;68.6 1000 7.4;101.3 1000 0;84.1 1000 0
50;V2;pipe;RETUR;0 924 40.1;0 0 40.1;
50;V2;pipe;RETUR;101.3 1000 0;600 1000 0;
50;V3;elbow;FREM;531.4 1000 -7.4;600 924 -40.1;600 1000 -40.1
50;V3;elbow;FREM;531.4 1000 -7.4;498.6 1000 0;515.8 1000 0
50;V3;pipe;FREM;600 0 -40.1;600 924 -40.1;
50;V3;pipe;FREM;0 1000 0;498.6 1000 0;
50;V3;elbow;RETUR;531.4 700 7.4;600 624 40.1;600 700 40.1
50;V3;elbow;RETUR;531.4 700 7.4;498.6 700 0;515.8 700 0
50;V3;pipe;RETUR;600 624 40.1;600 0 40.1;
50;V3;pipe;RETUR;498.6 700 0;0 700 0;
50;V4;elbow;FREM;531.4 700 -7.4;600 624 -40.1;600 700 -40.1
50;V4;elbow;FREM;531.4 700 -7.4;498.6 700 0;515.8 700 0
50;V4;pipe;FREM;600 0 -40.1;600 624 -40.1;
50;V4;pipe;FREM;0 700 0;498.6 700 0;
50;V4;elbow;RETUR;531.4 1000 7.4;600 924 40.1;600 1000 40.1
50;V4;elbow;RETUR;531.4 1000 7.4;498.6 1000 0;515.8 1000 0
50;V4;pipe;RETUR;600 0 40.1;600 924 40.1;
50;V4;pipe;RETUR;0 1000 0;498.6 1000 0;
40;V1;elbow;FREM;50.2 1000 -6.7;0 943 -33.6;0 1000 -33.6
40;V1;elbow;FREM;50.2 1000 -6.7;77.1 1000 0;62.8 1000 0
40;V1;pipe;FREM;0 0 -33.7;0 943 -33.6;
40;V1;pipe;FREM;77.1 1000 0;600 1000 0;
40;V1;elbow;RETUR;50.2 740 6.7;0 683 33.6;0 740 33.6
40;V1;elbow;RETUR;50.2 740 6.7;77.1 740 0;62.8 740 0
40;V1;pipe;RETUR;0 0 33.7;0 683 33.6;
40;V1;pipe;RETUR;77.1 740 0;600 740 0;
40;V2;elbow;FREM;50.2 740 -6.7;0 683 -33.6;0 740 -33.6
40;V2;elbow;FREM;50.2 740 -6.7;77.1 740 0;62.8 740 0
40;V2;pipe;FREM;0 0 -33.7;0 683 -33.6;
40;V2;pipe;FREM;77.1 740 0;600 740 0;
40;V2;elbow;RETUR;50.2 1000 6.7;0 943 33.6;0 1000 33.6
40;V2;elbow;RETUR;50.2 1000 6.7;77.1 1000 0;62.8 1000 0
40;V2;pipe;RETUR;0 943 33.6;0 0 33.7;
40;V2;pipe;RETUR;77.1 1000 0;600 1000 0;
40;V3;elbow;FREM;549.8 1000 -6.7;600 943 -33.6;600 1000 -33.6
40;V3;elbow;FREM;549.8 1000 -6.7;522.9 1000 0;537.2 1000 0
40;V3;pipe;FREM;600 943 -33.6;600 0 -33.7;
40;V3;pipe;FREM;0 1000 0;522.9 1000 0;
40;V3;elbow;RETUR;549.8 740 6.7;600 683 33.6;600 740 33.6
40;V3;elbow;RETUR;549.8 740 6.7;522.9 740 0;537.2 740 0
40;V3;pipe;RETUR;600 0 33.7;600 683 33.6;
40;V3;pipe;RETUR;522.9 740 0;0 740 0;
40;V4;elbow;FREM;549.8 740 -6.7;600 683 -33.6;600 740 -33.6
40;V4;elbow;FREM;549.8 740 -6.7;522.9 740 0;537.2 740 0
40;V4;pipe;FREM;600 683 -33.6;600 0 -33.7;
40;V4;pipe;FREM;522.9 740 0;0 740 0;
40;V4;elbow;RETUR;549.8 1000 6.7;600 943 33.6;600 1000 33.6
40;V4;elbow;RETUR;549.8 1000 6.7;522.9 1000 0;537.2 1000 0
40;V4;pipe;RETUR;600 943 33.6;600 0 33.7;
40;V4;pipe;RETUR;522.9 1000 0;0 1000 0;
32;V1;elbow;FREM;41.4 1000 -6.5;0 952 -30.7;0 1000 -30.7
32;V1;elbow;FREM;41.4 1000 -6.5;65.6 1000 0;52.6 1000 0
32;V1;pipe;FREM;0 952 -30.7;0 0 -30.7;
32;V1;pipe;FREM;600 1000 0;65.6 1000 0;
32;V1;elbow;RETUR;41.4 740 6.5;0 692 30.7;0 740 30.7
32;V1;elbow;RETUR;41.4 740 6.5;65.6 740 0;52.6 740 0
32;V1;pipe;RETUR;0 0 30.7;0 692 30.7;
32;V1;pipe;RETUR;600 740 0;65.6 740 0;
32;V2;elbow;FREM;41.4 740 -6.5;0 692 -30.7;0 740 -30.7
32;V2;elbow;FREM;41.4 740 -6.5;65.6 740 0;52.6 740 0
32;V2;pipe;FREM;0 0 -30.7;0 692 -30.7;
32;V2;pipe;FREM;600 740 0;65.6 740 0;
32;V2;elbow;RETUR;41.4 1000 6.5;0 952 30.7;0 1000 30.7
32;V2;elbow;RETUR;41.4 1000 6.5;65.6 1000 0;52.6 1000 0
32;V2;pipe;RETUR;0 952 30.7;0 0 30.7;
32;V2;pipe;RETUR;65.6 1000 0;600 1000 0;
32;V3;elbow;FREM;558.5 1000 -6.5;600 952 -30.7;600 1000 -30.7
32;V3;elbow;FREM;558.5 1000 -6.5;534.4 1000 0;547.3 1000 0
32;V3;pipe;FREM;600 0 -30.7;600 952 -30.7;
32;V3;pipe;FREM;534.4 1000 0;0 1000 0;
32;V3;elbow;RETUR;558.5 740 6.5;600 692 30.7;600 740 30.7
32;V3;elbow;RETUR;558.5 740 6.5;534.4 740 0;547.3 740 0
32;V3;pipe;RETUR;600 0 30.7;600 692 30.7;
